FECHA,FUENTE,ARTICULO,PROMEDIO,MINIMO,MAXIMO
2025-04-16,Medellín, Central Mayorista de Antioquia,Perejil,3,050.00,3,000.00,3,200.00
2025-04-17,,,,,
2025-04-18,,,,,
2025-04-19,Medellín, Central Mayorista de Antioquia,Apio,850.00,800.00,900.00
2025-04-19,Medellín, Central Mayorista de Antioquia,Cebolla junca,3,963.00,3,800.00,4,000.00
2025-04-19,Medellín, Central Mayorista de Antioquia,Cilantro,4,950.00,4,800.00,5,000.00
2025-04-19,Medellín, Central Mayorista de Antioquia,Coles,1,900.00,1,800.00,2,000.00
2025-04-19,Medellín, Central Mayorista de Antioquia,Espinaca,3,000.00,3,000.00,3,000.00
2025-04-19,Medellín, Central Mayorista de Antioquia,Lechuga crespa verde,2,000.00,2,000.00,2,000.00
2025-04-19,Medellín, Central Mayorista de Antioquia,Perejil,3,067.00,3,000.00,3,200.00
2025-04-20,,,,,
2025-04-21,Medellín, Central Mayorista de Antioquia,Apio,975.00,900.00,1,000.00
2025-04-21,Medellín, Central Mayorista de Antioquia,Cebolla junca,3,225.00,3,200.00,3,300.00
2025-04-21,Medellín, Central Mayorista de Antioquia,Cilantro,3,688.00,3,500.00,4,000.00
2025-04-21,Medellín, Central Mayorista de Antioquia,Coles,1,900.00,1,800.00,2,000.00
2025-04-21,Medellín, Central Mayorista de Antioquia,Espinaca,3,075.00,3,000.00,3,200.00
2025-04-21,Medellín, Central Mayorista de Antioquia,Lechuga crespa verde,2,000.00,2,000.00,2,000.00
2025-04-21,Medellín, Central Mayorista de Antioquia,Perejil,3,058.00,3,000.00,3,200.00
2025-04-22,Medellín, Central Mayorista de Antioquia,Apio,825.00,800.00,900.00
2025-04-22,Medellín, Central Mayorista de Antioquia,Cebolla junca,3,250.00,3,200.00,3,300.00
2025-04-22,Medellín, Central Mayorista de Antioquia,Cilantro,3,950.00,3,800.00,4,000.00
2025-04-22,Medellín, Central Mayorista de Antioquia,Coles,1,900.00,1,800.00,2,000.00
2025-04-22,Medellín, Central Mayorista de Antioquia,Espinaca,3,075.00,3,000.00,3,200.00
2025-04-22,Medellín, Central Mayorista de Antioquia,Lechuga crespa verde,2,125.00,2,000.00,2,200.00
2025-04-22,Medellín, Central Mayorista de Antioquia,Perejil,3,100.00,3,000.00,3,200.00
2025-04-23,Medellín, Central Mayorista de Antioquia,Apio,650.00,600.00,700.00
2025-04-23,Medellín, Central Mayorista de Antioquia,Cebolla junca,2,550.00,2,500.00,2,700.00
2025-04-23,Medellín, Central Mayorista de Antioquia,Cilantro,3,050.00,3,000.00,3,200.00
2025-04-23,Medellín, Central Mayorista de Antioquia,Coles,1,950.00,1,800.00,2,000.00
2025-04-23,Medellín, Central Mayorista de Antioquia,Espinaca,2,150.00,2,000.00,2,200.00
2025-04-23,Medellín, Central Mayorista de Antioquia,Lechuga crespa verde,1,925.00,1,800.00,2,000.00
